epoch,step,name,value
1,100,loss,0.3111476004123688
1,200,loss,0.377599835395813
1,300,loss,0.28430283069610596
1,400,loss,0.22875507175922394
1,500,loss,0.23341701924800873
1,600,loss,0.15937483310699463
2,100,loss,0.08904572576284409
2,200,loss,0.16259051859378815
2,300,loss,0.06745640933513641
2,400,loss,0.12966109812259674
2,500,loss,0.14300893247127533
2,600,loss,0.05196261405944824
3,100,loss,0.11753615736961365
3,200,loss,0.28041085600852966
3,300,loss,0.06928694993257523
3,400,loss,0.06824782490730286
3,500,loss,0.09377449005842209
3,600,loss,0.048585277050733566
4,100,loss,0.03776412084698677
4,200,loss,0.024154188111424446
4,300,loss,0.06399806588888168
4,400,loss,0.04582208767533302
4,500,loss,0.015294540673494339
4,600,loss,0.006105098873376846
5,100,loss,0.022201046347618103
5,200,loss,0.03651200234889984
5,300,loss,0.025170376524329185
5,400,loss,0.025661127641797066
5,500,loss,0.04694321006536484
5,600,loss,0.0445612333714962
